Unique ID;Player;Best Position;Age;Division;Salary;Transfer Value;Preferred Foot;Height;Starts;Minutes;Rating;Goals;xG-OP;xG;NP-xG/90;Penalties Taken;Penalties Scored;xG/shot;Free Kick Shots;Shots From Outside The Box Per 90 minutes;Goals From Outside The Box;Shots;Shots on Target;Headers Attempted;Headers Won;Key Headers per 90;Crosses Attempted;Crosses Completed;Open Play Crosses Attempted;Open Play Crosses Completed;Mistakes Leading to Goals;Distance;Sprints/90;Dribbles;Fouls Against;Off;Assists;xA;Chances Created per 90;Clear Cut Chances Created;Key Passes;Open Play Key Passes per 90;Passes Attempted;Passes Completed;PsP;Possession Lost per 90;Blk;Clearances;Interceptions;Key Tackles;Possession Won per 90;Pres A;Pres C;Shts Blckd;Tackled Completed;Tackles Attempted;Fouls Made;Yellow Cards;Red cards
2000150141;Hugo Luís Afonso;DM;21;Oberliga Niedersachsen;R$39K p/m;R$1.1M - R$3.5M;Right-Footed Only;1.91 m;34;2852;7.02;1;-2.01;3.01;0.1;0;0;0.103793103448276;0;0.3;0;29;5;96;55;0.3;4;0;4;0;0;348.6km;8.9;4;16;0;6;5.9;0.3;11;26;0.8;1456;1296;162;7.0;25;37;72;6;17.6;191;37;10;26;33;15;3;0
19284468;Luís Fernando;DM;28;Brasileirão Série D;R$28K p/m;R$0 - R$140K;Right-Footed;1.83 m;27;2403;6.77;1;-2.57;3.57;0.1;0;0;0.1275;0;0.3;1;28;3;66;46;0.1;3;1;3;1;0;281.5km;8.7;4;17;2;4;2.19;0.1;4;13;0.5;1150;983;72;4.5;12;29;67;1;12.3;147;24;3;18;22;17;3;0
2000429549;Luis Otávio;DM;19;Brasileirão Série D;R$46K p/m;R$500K - R$1.6M;Right-Footed;1.82 m;13;1089;6.93;0;-0.7;0.7;0.1;0;0;0.0875;0;0.2;0;8;1;27;15;0.2;44;4;1;0;0;148.1km;10.8;2;6;0;1;1.94;0.7;8;3;0.2;626;569;46;6.4;5;8;27;0;16.8;65;15;5;15;18;4;1;0
2000174180;Dani Luís;DM;32;Lower Division;R$2.9K p/m;R$ 0;Right-Footed;1.63 m;35;2362;6.48;2;1.37;0.63;0.0;0;0;0.07875;0;0.1;0;8;3;47;24;0.1;28;2;4;0;1;316.1km;9.4;3;3;0;6;4.36;0.3;8;27;0.8;1301;1148;153;7.6;14;21;64;0;14.0;172;25;0;14;25;16;4;0
83169817;Florentino Luís;DM;26;Clubes Sem Divisão Nacional/Fora da Série D;R$675K p/m;R$260M - R$320M;Right-Footed;1.84 m;40;3389;7.09;1;-0.05;1.05;0.0;0;0;0.0552631578947368;0;0.2;1;19;3;105;41;0.3;2;1;2;1;0;456.8km;14.2;2;19;0;2;7.11;0.4;15;34;0.9;2223;2055;183;7.0;29;36;107;7;13.2;223;60;11;37;58;11;3;0
67175649;Luismi Sánchez;DM;34;LaLiga 2;R$110K p/m;R$30K - R$90K;Right-Footed;1.80 m;38;2979;6.80;1;-0.7;1.7;0.1;0;0;0.1;0;0.1;0;17;2;56;29;0.1;3;2;3;2;0;393.4km;11.9;4;12;0;5;5.36;0.2;8;24;0.7;1701;1486;167;5.7;15;23;104;6;12.9;198;57;5;39;65;36;7;1
2000113349;Luiz Alexandre;DM;28;Clubes Sem Divisão Nacional/Fora da Série D;R$14K p/m;R$ 0;Right-Footed;1.74 m;13;1170;7.15;1;0;1;0.1;0;0;0.2;0;0.0;0;5;1;0;0;0.0;0;0;0;0;0;0.0km;0.0;0;11;0;6;1.1;0.0;0;0;0.0;260;187;0;0.0;0;0;0;0;0.0;0;0;0;21;25;10;0;0
19055097;Luiz Antônio;M (C);35;Brasileirão Série D;R$28K p/m;R$80K - R$260K;Right-Footed;1.81 m;17;1378;6.63;0;-0.53;0.53;0.0;0;0;0.0588888888888889;0;0.1;0;9;1;6;3;0.0;0;0;0;0;0;42.5km;2.3;0;14;1;2;2.96;0.1;1;6;0.1;416;323;22;1.0;3;2;10;1;4.4;22;4;0;23;29;27;3;1
19352597;Luiz Beserra;M (C);29;Brasileirão Série B;R$25K p/m;R$350K - R$1.1M;Right-Footed Only;1.71 m;24;1958;6.82;0;-1.37;1.37;0.1;0;0;0.0685;2;0.6;1;20;5;36;16;0.1;44;6;7;0;0;261.0km;9.5;3;15;0;3;1.61;0.1;2;37;1.3;1014;904;119;7.1;17;28;51;0;12.5;125;35;1;20;22;8;1;0
2000266228;Luiz Henrique;DM;23;Championship West;R$17K p/m;R$0 - R$100K;Right-Footed;1.79 m;12;1062;6.79;2;0.64;1.36;0.1;0;0;0.136;0;0.1;0;10;5;18;13;0.2;0;0;0;0;0;134.3km;9.2;0;4;2;1;3.59;0.6;7;7;0.6;542;467;45;4.7;6;12;30;0;20.7;75;26;1;16;20;4;1;0
